CONF,DATE,LAT,LONG,TEMP,geometry,state,Month
12,2017-09-05,49.0,-120.529,305.9,POINT (-120.529 49.0000000009338),3.0,9
52,2017-09-04,49.0,-120.511,319.3,POINT (-120.511 49.0000000009338),3.0,9
51,2017-09-04,49.0,-120.51,319.3,POINT (-120.51 49.0000000009338),3.0,9
98,2017-09-03,49.0,-120.509,319.4,POINT (-120.509 49.0000000009338),3.0,9
74,2017-09-06,49.0,-120.501,321.5,POINT (-120.501 49.0000000009338),3.0,9
90,2017-09-02,49.0,-120.495,340.3,POINT (-120.495 49.0000000009338),3.0,9
90,2017-09-02,49.0,-120.495,340.3,POINT (-120.495 49.0000000009338),3.0,9
46,2017-09-04,49.0,-120.495,314.2,POINT (-120.495 49.0000000009338),3.0,9
94,2017-09-03,49.0,-120.484,346.9,POINT (-120.484 49.0000000009338),3.0,9
100,2017-08-30,49.0,-120.478,402.7,POINT (-120.478 49.0000000009338),3.0,8
100,2017-08-30,49.0,-120.475,454.6,POINT (-120.475 49.0000000009338),3.0,8
83,2017-09-01,49.0,-120.475,344.3,POINT (-120.475 49.0000000009338),3.0,9
82,2017-09-01,49.0,-120.474,344.3,POINT (-120.474 49.0000000009338),3.0,9
98,2017-08-30,49.0,-120.459,332.1,POINT (-120.459 49.0000000009338),3.0,8
100,2017-08-30,49.0,-120.447,375.1,POINT (-120.447 49.0000000009338),3.0,8
100,2017-08-31,49.0,-120.366,337.3,POINT (-120.366 49.0000000009338),3.0,8
100,2017-09-01,49.0,-120.331,354.2,POINT (-120.331 49.0000000009338),3.0,9
68,2017-08-31,49.0,-120.311,321.3,POINT (-120.311 49.0000000009338),3.0,8
86,2017-09-06,48.999,-120.501,331.6,POINT (-120.501 48.9990000009338),3.0,9
84,2017-09-06,48.999,-120.5,331.6,POINT (-120.5 48.9990000009338),3.0,9
85,2017-08-31,48.999,-120.49,328.3,POINT (-120.49 48.9990000009338),3.0,8
81,2017-08-31,48.999,-120.489,328.3,POINT (-120.489 48.9990000009338),3.0,8
99,2017-08-30,48.999,-120.44,337.8,POINT (-120.44 48.9990000009338),3.0,8
52,2017-09-02,48.999,-120.385,324.2,POINT (-120.385 48.9990000009338),3.0,9
55,2017-09-01,48.999,-120.361,327.4,POINT (-120.361 48.9990000009338),3.0,9
47,2017-09-02,48.999,-120.326,318.3,POINT (-120.326 48.9990000009338),3.0,9
82,2017-09-01,48.999,-120.32,332.4,POINT (-120.32 48.9990000009338),3.0,9
81,2017-09-01,48.999,-120.32,332.4,POINT (-120.32 48.9990000009338),3.0,9
98,2017-09-04,48.999,-120.289,328.8,POINT (-120.289 48.9990000009338),3.0,9
40,2017-09-05,48.999,-120.238,306.7,POINT (-120.238 48.9990000009338),3.0,9
57,2017-09-05,48.999,-120.238,306.7,POINT (-120.238 48.9990000009338),3.0,9
85,2017-09-01,48.998,-120.489,337.7,POINT (-120.489 48.9980000009338),3.0,9
100,2017-08-30,48.998,-120.488,409.7,POINT (-120.488 48.9980000009338),3.0,8
84,2017-09-01,48.998,-120.488,337.7,POINT (-120.488 48.9980000009338),3.0,9
94,2017-08-30,48.998,-120.464,348.2,POINT (-120.464 48.9980000009338),3.0,8
100,2017-08-30,48.998,-120.461,405.3,POINT (-120.461 48.9980000009338),3.0,8
99,2017-08-30,48.998,-120.439,337.8,POINT (-120.439 48.9980000009338),3.0,8
100,2017-08-31,48.998,-120.364,391.0,POINT (-120.364 48.9980000009338),3.0,8
46,2017-09-05,48.998,-120.319,306.5,POINT (-120.319 48.9980000009338),3.0,9
100,2017-08-30,48.997,-120.42,346.6,POINT (-120.42 48.9970000009339),3.0,8
45,2017-09-05,48.997,-120.364,306.5,POINT (-120.364 48.9970000009339),3.0,9
11,2017-08-31,48.997,-120.334,302.3,POINT (-120.334 48.9970000009339),3.0,8
100,2017-09-01,48.997,-120.334,361.5,POINT (-120.334 48.9970000009339),3.0,9
100,2017-09-01,48.997,-120.334,361.5,POINT (-120.334 48.9970000009339),3.0,9
19,2017-09-04,48.997,-120.303,317.6,POINT (-120.303 48.9970000009339),3.0,9
100,2017-09-03,48.997,-120.482,389.6,POINT (-120.482 48.9970000009338),3.0,9
100,2017-09-03,48.997,-120.482,389.6,POINT (-120.482 48.9970000009338),3.0,9
24,2017-09-03,48.997,-120.296,321.2,POINT (-120.296 48.9970000009338),3.0,9
55,2017-09-03,48.996,-120.475,327.1,POINT (-120.475 48.9960000009339),3.0,9
58,2017-08-30,48.996,-120.45,331.4,POINT (-120.45 48.9960000009339),3.0,8
100,2017-08-30,48.996,-120.419,346.6,POINT (-120.419 48.9960000009339),3.0,8
37,2017-09-05,48.996,-120.367,305.9,POINT (-120.367 48.9960000009339),3.0,9
34,2017-09-05,48.996,-120.366,313.2,POINT (-120.366 48.9960000009339),3.0,9
100,2017-08-30,48.995,-120.475,378.0,POINT (-120.475 48.9950000009339),3.0,8
100,2017-08-30,48.995,-120.4,344.3,POINT (-120.4 48.9950000009339),3.0,8
74,2017-09-01,48.995,-120.334,345.8,POINT (-120.334 48.9950000009339),3.0,9
81,2017-09-02,48.995,-120.319,323.7,POINT (-120.319 48.9950000009339),3.0,9
100,2017-09-03,48.995,-120.273,384.8,POINT (-120.273 48.9950000009339),3.0,9
100,2017-09-05,48.995,-120.256,320.6,POINT (-120.256 48.9950000009339),3.0,9
42,2017-09-05,48.995,-120.246,308.7,POINT (-120.246 48.9950000009339),3.0,9
51,2017-09-05,48.995,-120.245,308.7,POINT (-120.245 48.9950000009339),3.0,9
100,2017-09-03,48.994,-120.499,398.9,POINT (-120.499 48.9940000009339),3.0,9
100,2017-09-03,48.994,-120.499,398.9,POINT (-120.499 48.9940000009339),3.0,9
100,2017-08-30,48.994,-120.4,344.3,POINT (-120.4 48.9940000009339),3.0,8
100,2017-09-03,48.994,-120.273,384.8,POINT (-120.273 48.9940000009339),3.0,9
67,2017-09-05,48.994,-120.165,309.7,POINT (-120.165 48.9940000009339),3.0,9
100,2017-09-04,48.993,-120.498,327.9,POINT (-120.498 48.9930000009339),3.0,9
100,2017-08-30,48.993,-120.489,348.4,POINT (-120.489 48.9930000009339),3.0,8
86,2017-08-30,48.993,-120.382,318.1,POINT (-120.382 48.9930000009339),3.0,8
87,2017-08-30,48.993,-120.381,318.1,POINT (-120.381 48.9930000009339),3.0,8
73,2017-08-31,48.993,-120.363,320.4,POINT (-120.363 48.9930000009339),3.0,8
54,2017-09-01,48.993,-120.321,336.3,POINT (-120.321 48.9930000009339),3.0,9
93,2017-09-11,48.993,-120.283,345.1,POINT (-120.283 48.9930000009339),3.0,9
93,2017-09-11,48.993,-120.282,345.1,POINT (-120.282 48.9930000009339),3.0,9
